id,word,wordtype,wordmeaning
1093,dispatcher,noun,person who sends goods to customers
1094,dispatch note,noun,a note saying that goods have been sent
1096,display advertisement,noun,an advertisement which is well designed to attract attention
1097,display board,noun,"coated coloured board, used as backing for exhibitions or displays"
1098,display cabinet,noun,"a piece of furniture with a glass top or glass doors for showing goods for sale, used particularly in antiquarian bookshops"
1099,display character,noun,"a graphical symbol which appears as
a printed or displayed item, e.g. one of the
letters of the alphabet or a number"
1100,displayed text,noun,"text that is laid out by indenting or being placed in a box, so as to make it different from the rest of the text"
1101,display controller,noun,"a device that accepts character or graphics codes and instructions, and converts them into dot-matrix patterns that are displayed on a screen"
1102,display face,noun,"a large typeface used for posters, headings in bookwork, etc. Also called display type"
1103,display format,noun,"the number of characters that can be displayed on a screen, given as lengths of rows and columns"
1104,display highlights,plural noun,the emphasis of particular words or paragraphs by changing the colour of the display
1105,display line,noun,the horizontal printing position for the characters in a line of text
1106,display material,noun,items that can be used for an exhibition
1107,display matter,noun,typeset material in a display face such as a poster
1108,display mode,noun,"a way of referring to the character set to be used, usually graphics or alphanumerics"
1109,display pack,noun,an attractive box for showing goods for sale
1110,display screen,noun,"the physical part of a visual display unit or monitor, which allows the user to see characters or graphics"
1111,Display PostScript,,a trade name for an extension of PostScript that allows PostScript commands to be interpreted and displayed on screen so that a user can see exactly what will appear on the printer
1112,display register,noun,a register that contains character or control or graphical data that is to be displayed
1113,dissect,verb,"to remove the type which is to be printed in another colour, such as highlighted words in a children�s dictionary"
1114,disseminate,verb,to spread news and information widely
1115,dissemination,noun,the act of distributing something such as information throughout an area
1116,distribute,verb,"1. to send out goods from a manufacturer�s warehouse to retail shops.     2. to break up standing metal type and put each piece back into its case.       3. in Monotype and Linotype machines, to melt down cast slugs after they have been used.     4. to spread ink evenly over the surface of a plate, using a distributing roller"
1117,distribution,noun,the delivery of goods or information to people or organisations
1118,distribution channel,noun,"the method by which things are sent to other people, e.g. e-mail, post or retail shops"
1119,distribution costs,plural noun,"the costs involved in distributing books from the warehouse to the customer, including, picking, packing and transport"
